Modèle,MAE_mean,MAE_ci95,R2_mean,R2_ci95
3. Stack Mixte,3.492418702105142,0.2896801606213041,0.9273853576597251,0.04421242034280048
5. Stack Optuna,3.5411928498254523,0.2707749830540885,0.9263833621712532,0.04158684578710152
2. Stack Arbres,3.8041178875066697,0.25653871323732835,0.9173483403683645,0.038993944487210275
0. ElasticNetCV (baseline),4.01163763999939,0.49805507749167444,0.9019314289093018,0.06161371633890059
1. Stack Linéaire,4.226391124725342,0.3232442200690217,0.8932627201080322,0.05837059188854268
4. Stack Complet,4.991171508749872,1.3184158011135776,0.8311715545499772,0.14566557973751953
