rank,model,fit_time_sec,n_features,n_train,n_test,mae,mad,rmse,r2,correlation,mae_train,r2_train,cv_mae,cv_std,overfitting_ratio
1,Stack Optuna,61.42,500,320,80,3.32677862121197,2.289306393149637,5.577025033526249,0.9308707428483588,0.9652156054270795,,,3.32677862121197,,
2,Residual Learning,9.82,500,320,80,3.3297463202476503,2.21054744720459,5.886707867258617,0.9229803269853183,0.9614192832074561,,,3.3297463202476503,,
3,ElasticNetCV,11.15,500,320,80,3.431062364578247,2.44384765625,5.820394378593641,0.9247057992776616,0.9618871406020526,,,3.431062364578247,,
