Méthode,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std
5. Iterative (MICE),3.1919628143310548,0.2656638840061751,0.9455734729766846,0.024790930808805327,4.798132277700713,1.0606023606551573
4. KNN (k=5),3.4102522850036623,0.33756761164801813,0.9208702445030212,0.03976303423156128,5.705710507523047,1.346708542555358
3. Median,3.435899353027344,0.3005621898055981,0.9242177367210388,0.03377610266630327,5.640651146083773,1.119579527969525
2. Mean,3.449612283706665,0.27911503889849204,0.9245589852333069,0.03185039346407274,5.641154736827534,1.0669822472879495
1. Zero Fill,3.472225284576416,0.4085150202539731,0.9201952576637268,0.02895904095500758,5.813675900076667,1.0748449371770639
