fold,enet_mae,enet_rmse,enet_r2,enet_corr,hybrid_mae,hybrid_rmse,hybrid_r2,hybrid_corr
1,3.4317060918807982,4.441546086667379,0.9600189477655522,0.9820813057304374,3.3230652513504024,4.337888116838504,0.9618633477139826,0.9829093090360651
2,2.9048373184204106,3.6696027212832356,0.9693977221833697,0.9856008696476628,2.8678343772888186,3.6496776548448255,0.9697291460784563,0.9855986591620699
3,3.528057761192322,6.595623040954526,0.90584101463448,0.9524056651736852,3.4779411592483527,6.563794932218632,0.9067475768860086,0.95287610987791
4,3.656689022064209,6.4168477583951775,0.895725708904276,0.9530388432250498,3.6094373188018807,6.349742520100609,0.8978952361987265,0.9539276490245181
5,3.452221267700195,5.720043722589225,0.9265007015715643,0.9632038577531394,3.3850714812278753,5.654711278324304,0.9281700825266992,0.9641143691057952
