Modèle,n_feat,MAE_mean,MAE_ci95,R2_mean,R2_ci95
2. Residual Learning,500,3.279514122009277,0.5074745212713571,0.9303417086601258,0.04276821291647622
1. ElasticNetCV (corr),500,3.5723145484924315,0.3079662040021433,0.9243022561073303,0.03979359214907511
3. ElasticNetCV (+ sexe),501,3.5850183010101317,0.32712554667672017,0.9240419745445252,0.04013404924351739
5. ElasticNetCV (RFECV),210,3.6008543968200684,0.37288251154638286,0.9240315675735473,0.04011449593270119
4. Sous-modèles âge,500,3.82611394405365,0.3151698006435274,0.9188783265161667,0.045129689608453705
