Rank,Model,MAE_Train,MAE_Test,MAD_Test,R2_Train,R2_Test,Overfitting_Ratio,CV_MAE,N_Params,N_Trials,Optimization_Time_Min
1,ElasticNet,0.0026153511942006657,3.2618341096204304,2.684251971948026,0.9999999643588127,0.9633390603531751,1247.187802866892,3.300000294077401,5007,75,2.570308820406596
2,Ridge,2.0214328046996854e-06,3.3036789783332727,2.738384942345295,0.9999999999999787,0.962541430301801,1634325.4006032045,3.297639536780788,5007,100,0.4354977210362752
3,SVR,0.8271986076628931,3.31761156205951,2.580783654815489,0.9921587680010567,0.9621927939385064,4.010659025929515,3.261469493963574,5007,4,0.05817158619562785
4,Lasso,0.011590522082099809,3.944109053245257,3.1518406873749427,0.9999994249373052,0.9518356920762786,340.2874370375833,3.6804482688593416,5007,100,6.583850030104319
